Ref,Val,Package,PosX,PosY,Rot,Side
"AM0","CD74HC4067SM","SSOP-24_5.3x8.2mm_P0.65mm",152.470000,-127.168750,0.000000,top
"AM0:0","CAPS","VoidSwitch_1.75u_SMD",111.838750,-156.300000,0.000000,top
"AM0:1","Q","VoidSwitch_1u_SMD",133.270000,-137.250000,0.000000,top
"AM0:2","Tab","VoidSwitch_1.5u_SMD",109.457500,-137.250000,0.000000,top
"AM0:3","Tilde","VoidSwitch_1u_SMD",104.695000,-118.200000,0.000000,top
"AM0:4","1","VoidSwitch_1u_SMD",123.745000,-118.200000,0.000000,top
"AM0:5","2","VoidSwitch_1u_SMD",142.795000,-118.200000,0.000000,top
"AM0:6","ESC","VoidSwitch_1u_SMD",104.695000,-89.625000,0.000000,top
"AM0:7","F1","VoidSwitch_1u_SMD",142.795000,-89.625000,0.000000,top
"AM0:8","F2","VoidSwitch_1u_SMD",161.845000,-89.625000,0.000000,top
"AM0:9","F3","VoidSwitch_1u_SMD",180.895000,-89.625000,0.000000,top
"AM0:10","3","VoidSwitch_1u_SMD",161.845000,-118.200000,0.000000,top
"AM0:11","A","VoidSwitch_1u_SMD",138.032500,-156.300000,0.000000,top
"AM0:12","E","VoidSwitch_1u_SMD",171.370000,-137.250000,0.000000,top
"AM0:13","W","VoidSwitch_1u_SMD",152.320000,-137.250000,0.000000,top
"AM0:14","S","VoidSwitch_1u_SMD",157.082500,-156.300000,0.000000,top
"AM0:15","D","VoidSwitch_1u_SMD",176.132500,-156.300000,0.000000,top
"AM1","CD74HC4067SM","SSOP-24_5.3x8.2mm_P0.65mm",218.970000,-127.168750,0.000000,top
"AM1:0","T","VoidSwitch_1u_SMD",209.470000,-137.250000,0.000000,top
"AM1:1","R","VoidSwitch_1u_SMD",190.420000,-137.250000,0.000000,top
"AM1:2","4","VoidSwitch_1u_SMD",180.895000,-118.200000,0.000000,top
"AM1:3","F4","VoidSwitch_1u_SMD",199.945000,-89.625000,0.000000,top
"AM1:4","5","VoidSwitch_1u_SMD",199.945000,-118.200000,0.000000,top
"AM1:5","6","VoidSwitch_1u_SMD",218.995000,-118.200000,0.000000,top
"AM1:6","F","VoidSwitch_1u_SMD",195.182500,-156.300000,0.000000,top
"AM1:7","G","VoidSwitch_1u_SMD",214.232500,-156.300000,0.000000,top
"AM1:8","Y","VoidSwitch_1u_SMD",228.520000,-137.250000,0.000000,top
"AM1:9","U","VoidSwitch_1u_SMD",247.570000,-137.250000,0.000000,top
"AM1:10","F5","VoidSwitch_1u_SMD",228.520000,-89.625000,0.000000,top
"AM1:11","F6","VoidSwitch_1u_SMD",247.570000,-89.625000,0.000000,top
"AM1:12","F7","VoidSwitch_1u_SMD",266.620000,-89.625000,0.000000,top
"AM1:13","J","VoidSwitch_1u_SMD",252.332500,-156.300000,0.000000,top
"AM1:14","H","VoidSwitch_1u_SMD",233.282500,-156.300000,0.000000,top
"AM1:15","7","VoidSwitch_1u_SMD",238.045000,-118.200000,0.000000,top
"AM2","CD74HC4067SM","SSOP-24_5.3x8.2mm_P0.65mm",286.870000,-127.168750,0.000000,top
"AM2:0","8","VoidSwitch_1u_SMD",257.095000,-118.200000,0.000000,top
"AM2:1","9","VoidSwitch_1u_SMD",276.145000,-118.200000,0.000000,top
"AM2:2","F8","VoidSwitch_1u_SMD",285.670000,-89.625000,0.000000,top
"AM2:3","I","VoidSwitch_1u_SMD",266.620000,-137.250000,0.000000,top
"AM2:4","K","VoidSwitch_1u_SMD",271.382500,-156.300000,0.000000,top
"AM2:5","O","VoidSwitch_1u_SMD",285.670000,-137.250000,0.000000,top
"AM2:6","Zero","VoidSwitch_1u_SMD",295.195000,-118.200000,0.000000,top
"AM2:7","L","VoidSwitch_1u_SMD",290.432500,-156.300000,0.000000,top
"AM2:8","Semi","VoidSwitch_1u_SMD",309.482500,-156.300000,0.000000,top
"AM2:9","F9","VoidSwitch_1u_SMD",314.245000,-89.625000,0.000000,top
"AM2:10","Minus","VoidSwitch_1u_SMD",314.245000,-118.200000,0.000000,top
"AM2:11","P","VoidSwitch_1u_SMD",304.720000,-137.250000,0.000000,top
"AM2:12","LBrack","VoidSwitch_1u_SMD",323.770000,-137.250000,0.000000,top
"AM2:13","Quot","VoidSwitch_1u_SMD",328.532500,-156.300000,0.000000,top
"AM2:14","Equal","VoidSwitch_1u_SMD",333.295000,-118.200000,0.000000,top
"AM3","CD74HC4067SM","SSOP-24_5.3x8.2mm_P0.65mm",382.020000,-128.343750,0.000000,top
"AM3:0","F10","VoidSwitch_1u_SMD",333.295000,-89.625000,0.000000,top
"AM3:1","F11","VoidSwitch_1u_SMD",352.345000,-89.625000,0.000000,top
"AM3:2","F12","VoidSwitch_1u_SMD",371.395000,-89.625000,0.000000,top
"AM3:3","BS","VoidSwitch_2u_SMD",361.870000,-118.200000,0.000000,top
"AM3:4","RBrack","VoidSwitch_1u_SMD",342.820000,-137.250000,0.000000,top
"AM3:5","Bslash","VoidSwitch_1.5u_SMD",366.632500,-137.250000,0.000000,top
"AM3:6","Enter","VoidSwitch_2.25u_SMD",359.488750,-156.300000,0.000000,top
"AM3:7","PrintScrn","VoidSwitch_1u_SMD",395.207500,-89.625000,0.000000,top
"AM3:8","Insert","VoidSwitch_1u_SMD",395.207500,-118.200000,0.000000,top
"AM3:9","Scrllck","VoidSwitch_1u_SMD",414.257500,-89.625000,0.000000,top
"AM3:10","Del","VoidSwitch_1u_SMD",395.207500,-137.250000,0.000000,top
"AM3:11","Home","VoidSwitch_1u_SMD",414.257500,-118.200000,0.000000,top
"AM3:12","End","VoidSwitch_1u_SMD",414.257500,-137.250000,0.000000,top
"AM3:13","RShift","VoidSwitch_2.75u_SMD",354.726250,-175.350000,0.000000,top
"AM3:14","Slash","VoidSwitch_1u_SMD",319.007500,-175.350000,0.000000,top
"AM4","CD74HC4067SM","SSOP-24_5.3x8.2mm_P0.65mm",207.020000,-193.293750,0.000000,top
"AM4:0","LShift","VoidSwitch_2.25u_SMD",116.601250,-175.350000,0.000000,top
"AM4:1","Z","VoidSwitch_1u_SMD",147.557500,-175.350000,0.000000,top
"AM4:2","X","VoidSwitch_1u_SMD",166.607500,-175.350000,0.000000,top
"AM4:3","C","VoidSwitch_1u_SMD",185.657500,-175.350000,0.000000,top
"AM4:4","V","VoidSwitch_1u_SMD",204.707500,-175.350000,0.000000,top
"AM4:5","LCtrl","VoidSwitch_1.25u_SMD",107.076250,-194.400000,0.000000,top
"AM4:6","Super","VoidSwitch_1.25u_SMD",130.888750,-194.400000,0.000000,top
"AM4:7","LAlt","VoidSwitch_1.25u_SMD",154.701250,-194.400000,0.000000,top
"AM4:8","Space","VoidSwitch_6.25u_SMD",226.138750,-194.400000,0.000000,top
"AM4:9","B","VoidSwitch_1u_SMD",223.757500,-175.350000,0.000000,top
"AM4:10","N","VoidSwitch_1u_SMD",242.807500,-175.350000,0.000000,top
"AM4:11","M","VoidSwitch_1u_SMD",261.857500,-175.350000,0.000000,top
"AM4:12","Comma","VoidSwitch_1u_SMD",280.907500,-175.350000,0.000000,top
"AM4:13","Period","VoidSwitch_1u_SMD",299.957500,-175.350000,0.000000,top
"AM4:14","RAlt","VoidSwitch_1.25u_SMD",297.576250,-194.400000,0.000000,top
"AM5","CD74HC4067SM","SSOP-24_5.3x8.2mm_P0.65mm",397.100000,-162.900000,0.000000,top
